Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32631
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32254
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32253
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32252
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32251
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32250
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32249
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32248
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32247
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32246
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32245
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32244
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32243
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32242
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32241
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32240
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32239
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32238
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32237
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32236
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32235
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32234
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32233
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32232
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32231
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32230
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32229
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32228
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32227
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32226
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32225
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32224
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32223
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32222
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32221
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32220
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32219
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32218
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32217
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32216
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32215
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32214
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32213
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32212
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32211
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32210
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32209
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32208
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32207
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32206
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32205
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32204
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32203
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32202
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32201
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32200
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32199
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32198
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32197
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32196
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32195
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32194
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32193
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32192
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32191
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32190
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32189
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32188
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32187
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32186
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32185
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32184
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32183
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32182
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32181
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32180
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32179
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32178
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32177
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32176
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32175
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32174
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32173
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32172
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32171
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32170
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32169
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32168
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32167
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32166
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32165
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32164
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32163
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32162
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32161
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32160
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32159
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32158
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32157
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32156
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32155
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32154
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32153
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32152
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32151
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32150
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32149
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32148
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32147
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32146
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32145
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32144
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32143
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32142
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32141
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32140
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32139
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32138
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32137
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32136
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32135
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32134
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32133
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32132
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32131
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32130
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32129
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32128
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32127
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32126
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32125
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32124
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32123
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32122
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32121
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32120
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32119
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32118
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32117
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32116
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32115
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32114
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32113
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32112
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32111
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32110
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32109
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32108
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32107
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32106
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32105
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32104
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32103
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32102
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32101
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32100
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32099
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32098
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32097
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32096
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32095
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32094
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32093
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32092
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32091
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32090
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32089
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32088
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32087
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32086
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32085
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32084
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32083
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32082
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32081
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32080
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32079
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32078
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32077
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32076
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32075
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32074
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32073
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32072
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32071
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32070
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32069
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32068
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32067
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32066
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32065
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32064
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32063
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32062
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32061
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32060
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32059
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32058
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32057
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32056
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32055
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32054
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32053
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32052
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32051
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32050
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32049
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32048
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32047
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32046
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32045
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32044
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32043
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32042
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32041
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32040
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32039
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32038
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32037
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32036
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32035
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32034
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32033
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32032
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32031
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32030
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32029
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32028
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32027
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32026
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32025
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32024
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32023
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32022
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32021
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32020
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32019
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32018
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32017
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32016
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32015
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32014
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32013
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32012
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32011
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32010
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32009
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32008
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32007
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32006
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32005
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32004
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32003
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32002
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32001
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32000
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31999
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31998
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31997
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31996
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31995
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31994
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31993
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31992
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31991
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31990
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31989
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31988
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31987
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31986
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31985
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31984
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31983
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31982
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31981
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31980
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31979
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31978
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31977
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31976
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31975
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31974
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31973
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31972
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31971
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31970
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31969
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31968
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31967
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31966
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31965
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31964
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31963
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31962
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31961
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31960
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31959
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31958
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31957
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31956
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31955
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31954
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31953
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31952
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31951
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31950
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31949
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31948
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31947
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31946
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31945
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31944
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31943
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31942
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31941
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31940
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31939
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31938
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31937
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31936
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31935
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31934
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31933
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31932
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31931
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31930
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31929
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31928
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31927
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31926
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31925
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31924
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31923
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31922
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31921
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31920
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31919
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31918
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31917
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31916
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31915
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31914
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31913
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31912
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31911
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31910
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31909
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31908
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31907
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31906
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31905
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31904
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31903
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31902
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31901
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31900
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31899
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31898
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31897
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31896
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31895
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31894
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31893
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31892
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31891
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31890
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31889
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31888
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31887
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31886
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31885
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31884
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31883
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31882
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31881
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31880
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31879
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31878
